"excel_row_number","product_name","size","sku","alternate_sku","transformed_sku","excel_inventory","excel_selling_price","shopify_product_title","shopify_variant_title","shopify_sku","current_shopify_inventory","shopify_variant_price","delta","action_taken","status","reason"
"3","Lacoste Polo","L","LAC-1-SSPOPO_SOL-BLK|L","LAC-1-SSPOPO_SOL-BLK|Black|L","LAC-1-SSPOPO_SOL-BLK-L","2","1499","","","","","","","UNMATCHED","UNMATCHED","No exact Shopify SKU matched. Related Shopify SKUs found: LAC-1-SSPOPO_SOL-BLK-M | LAC-1-SSPOPO_SOL-BLK-XL | LAC-1-SSPOPO_SOL-BLK-XXL"
"7","Lacoste Polo","L","LAC-2-SSPOPO_SOL-OLV|L","LAC-2-SSPOPO_SOL-OLV|Olive|L","LAC-2-SSPOPO_SOL-OLV-L","2","1499","","","","","","","UNMATCHED","UNMATCHED","No exact Shopify SKU matched. Related Shopify SKUs found: LAC-2-SSPOPO_SOL-OLV-M | LAC-2-SSPOPO_SOL-OLV-XL | LAC-2-SSPOPO_SOL-OLV-XXL"
"11","Lacoste Polo","L","LAC-3-SSPOPO_SOL-NAV|L","LAC-3-SSPOPO_SOL-NAV|Navy|L","LAC-3-SSPOPO_SOL-NAV-L","2","1499","","","","","","","UNMATCHED","UNMATCHED","No exact Shopify SKU matched. Related Shopify SKUs found: LAC-3-SSPOPO_SOL-NAV-M | LAC-3-SSPOPO_SOL-NAV-XL | LAC-3-SSPOPO_SOL-NAV-XXL"
"15","Lacoste Polo","L","LAC-4-SSPOPO_SOL-SKY|L","LAC-4-SSPOPO_SOL-SKY|Blue|L","LAC-4-SSPOPO_SOL-SKY-L","2","1499","","","","","","","UNMATCHED","UNMATCHED","No exact Shopify SKU matched. Related Shopify SKUs found: LAC-4-SSPOPO_SOL-SKY-M | LAC-4-SSPOPO_SOL-SKY-XL | LAC-4-SSPOPO_SOL-SKY-XXL"
"19","Lacoste Polo","L","LAC-5-SSPOPO_SOL-SKN|L","LAC-5-SSPOPO_SOL-SKN|Beige|L","LAC-5-SSPOPO_SOL-SKN-L","3","1499","","","","","","","UNMATCHED","UNMATCHED","No exact Shopify SKU matched. Related Shopify SKUs found: LAC-5-SSPOPO_SOL-SKN-M | LAC-5-SSPOPO_SOL-SKN-XL | LAC-5-SSPOPO_SOL-SKN-XXL"
"23","Lacoste Polo","L","LAC-6-SSPOPO_SOL-MRN|L","LAC-6-SSPOPO_SOL-MRN|Maroon|L","LAC-6-SSPOPO_SOL-MRN-L","2","1499","","","","","","","UNMATCHED","UNMATCHED","No exact Shopify SKU matched. Related Shopify SKUs found: LAC-6-SSPOPO_SOL-MRN-M | LAC-6-SSPOPO_SOL-MRN-XL | LAC-6-SSPOPO_SOL-MRN-XXL"
"27","Lacoste Polo","L","LAC-7-SSPOPO_SOL-RED|L","LAC-7-SSPOPO_SOL-RED|Red|L","LAC-7-SSPOPO_SOL-RED-L","2","1499","","","","","","","UNMATCHED","UNMATCHED","No exact Shopify SKU matched. Related Shopify SKUs found: LAC-7-SSPOPO_SOL-RED-M | LAC-7-SSPOPO_SOL-RED-XL | LAC-7-SSPOPO_SOL-RED-XXL"
"32","Polo Ralph Lauren Polo","L","PRL-8-SSPOPO_SOL-BRN|L","PRL-8-SSPOPO_SOL-BRN|Brown|L","PRL-8-SSPOPO_SOL-BRN-L","2","1799","","","","","","","UNMATCHED","UNMATCHED","No exact Shopify SKU matched. Related Shopify SKUs found: PRL-8-SSPOPO_SOL-BRN-M | PRL-8-SSPOPO_SOL-BRN-S | PRL-8-SSPOPO_SOL-BRN-XL | PRL-8-SSPOPO_SOL-BRN-XXL"
"37","Polo Ralph Lauren Polo","L","PRL-9-SSPOPO_SOL-WHT|L","PRL-9-SSPOPO_SOL-WHT|White|L","PRL-9-SSPOPO_SOL-WHT-L","2","1799","","","","","","","UNMATCHED","UNMATCHED","No exact Shopify SKU matched. Related Shopify SKUs found: PRL-9-SSPOPO_SOL-WHT-M | PRL-9-SSPOPO_SOL-WHT-S | PRL-9-SSPOPO_SOL-WHT-XL | PRL-9-SSPOPO_SOL-WHT-XXL"
"42","Polo Ralph Lauren Polo","L","PRL-10-SSPOPO_SOL-BLK|L","PRL-10-SSPOPO_SOL-BLK|Black|L","PRL-10-SSPOPO_SOL-BLK-L","2","1799","","","","","","","UNMATCHED","UNMATCHED","No exact Shopify SKU matched. Related Shopify SKUs found: PRL-10-SSPOPO_SOL-BLK-M | PRL-10-SSPOPO_SOL-BLK-S | PRL-10-SSPOPO_SOL-BLK-XL | PRL-10-SSPOPO_SOL-BLK-XXL"
