"excel_row_number","product_name","size","sku","alternate_sku","transformed_sku","excel_inventory","excel_selling_price","shopify_product_title","shopify_variant_title","shopify_sku","current_shopify_inventory","shopify_variant_price","delta","action_taken","status","reason"
"2","Lacoste Polo","M","LAC-1-SSPOPO_SOL-BLK|M","LAC-1-SSPOPO_SOL-BLK|Black|M","LAC-1-SSPOPO_SOL-BLK-M","2","1499","Lacoste | Polo | Black","M","LAC-1-SSPOPO_SOL-BLK-M","2","1499","0","MATCHED_NO_CHANGE","MATCHED_NO_CHANGE","Matched variant already has the target inventory"
"3","Lacoste Polo","L","LAC-1-SSPOPO_SOL-BLK|L","LAC-1-SSPOPO_SOL-BLK|Black|L","LAC-1-SSPOPO_SOL-BLK-L","2","1499","","","","","","","UNMATCHED","UNMATCHED","No exact Shopify SKU matched. Related Shopify SKUs found: LAC-1-SSPOPO_SOL-BLK-M | LAC-1-SSPOPO_SOL-BLK-XL | LAC-1-SSPOPO_SOL-BLK-XXL"
"4","Lacoste Polo","XL","LAC-1-SSPOPO_SOL-BLK|XL","LAC-1-SSPOPO_SOL-BLK|Black|XL","LAC-1-SSPOPO_SOL-BLK-XL","2","1499","Lacoste | Polo | Black","XL","LAC-1-SSPOPO_SOL-BLK-XL","2","1499","0","MATCHED_NO_CHANGE","MATCHED_NO_CHANGE","Matched variant already has the target inventory"
"5","Lacoste Polo","XXL","LAC-1-SSPOPO_SOL-BLK|XXL","LAC-1-SSPOPO_SOL-BLK|Black|XXL","LAC-1-SSPOPO_SOL-BLK-XXL","1","1499","Lacoste | Polo | Black","XXL","LAC-1-SSPOPO_SOL-BLK-XXL","1","1499","0","MATCHED_NO_CHANGE","MATCHED_NO_CHANGE","Matched variant already has the target inventory"
"6","Lacoste Polo","M","LAC-2-SSPOPO_SOL-OLV|M","LAC-2-SSPOPO_SOL-OLV|Olive|M","LAC-2-SSPOPO_SOL-OLV-M","2","1499","Lacoste | Polo | Olive","M","LAC-2-SSPOPO_SOL-OLV-M","2","1499","0","MATCHED_NO_CHANGE","MATCHED_NO_CHANGE","Matched variant already has the target inventory"
"7","Lacoste Polo","L","LAC-2-SSPOPO_SOL-OLV|L","LAC-2-SSPOPO_SOL-OLV|Olive|L","LAC-2-SSPOPO_SOL-OLV-L","2","1499","","","","","","","UNMATCHED","UNMATCHED","No exact Shopify SKU matched. Related Shopify SKUs found: LAC-2-SSPOPO_SOL-OLV-M | LAC-2-SSPOPO_SOL-OLV-XL | LAC-2-SSPOPO_SOL-OLV-XXL"
"8","Lacoste Polo","XL","LAC-2-SSPOPO_SOL-OLV|XL","LAC-2-SSPOPO_SOL-OLV|Olive|XL","LAC-2-SSPOPO_SOL-OLV-XL","2","1499","Lacoste | Polo | Olive","XL","LAC-2-SSPOPO_SOL-OLV-XL","2","1499","0","MATCHED_NO_CHANGE","MATCHED_NO_CHANGE","Matched variant already has the target inventory"
"9","Lacoste Polo","XXL","LAC-2-SSPOPO_SOL-OLV|XXL","LAC-2-SSPOPO_SOL-OLV|Olive|XXL","LAC-2-SSPOPO_SOL-OLV-XXL","1","1499","Lacoste | Polo | Olive","XXL","LAC-2-SSPOPO_SOL-OLV-XXL","1","1499","0","MATCHED_NO_CHANGE","MATCHED_NO_CHANGE","Matched variant already has the target inventory"
"10","Lacoste Polo","M","LAC-3-SSPOPO_SOL-NAV|M","LAC-3-SSPOPO_SOL-NAV|Navy|M","LAC-3-SSPOPO_SOL-NAV-M","2","1499","Lacoste | Polo | Navy","M","LAC-3-SSPOPO_SOL-NAV-M","2","1499","0","MATCHED_NO_CHANGE","MATCHED_NO_CHANGE","Matched variant already has the target inventory"
"11","Lacoste Polo","L","LAC-3-SSPOPO_SOL-NAV|L","LAC-3-SSPOPO_SOL-NAV|Navy|L","LAC-3-SSPOPO_SOL-NAV-L","2","1499","","","","","","","UNMATCHED","UNMATCHED","No exact Shopify SKU matched. Related Shopify SKUs found: LAC-3-SSPOPO_SOL-NAV-M | LAC-3-SSPOPO_SOL-NAV-XL | LAC-3-SSPOPO_SOL-NAV-XXL"
"12","Lacoste Polo","XL","LAC-3-SSPOPO_SOL-NAV|XL","LAC-3-SSPOPO_SOL-NAV|Navy|XL","LAC-3-SSPOPO_SOL-NAV-XL","3","1499","Lacoste | Polo | Navy","XL","LAC-3-SSPOPO_SOL-NAV-XL","3","1499","0","MATCHED_NO_CHANGE","MATCHED_NO_CHANGE","Matched variant already has the target inventory"
