"*Channel Name","Product Name","*SKU Code",Weight,Dimensions,Category,"Image 1","Image 2","Image 3","Image 4","Image 5","HSN Code",Essential,"Channel Product id","Channel SKU Code","Master SKU Code"
"Entitled Club (Shopify)","Hackett | White Polo T-Shirt-XL","HKT-58-SSPOPO_SOL-WHT | XL",,0.000x0.000x0.000,Polo,,,,,,,,9647204008177,"HKT-58-SSPOPO_SOL-WHT | XL","HKT-58-SSPOPO_SOL-WHT | XL"
"Entitled Club (Shopify)","Hackett | Orange Polo T-Shirt-XL","HKT-55-SSPOPO_SOL-ORG | XL",,0.000x0.000x0.000,Polo,,,,,,,,9647203909873,"HKT-55-SSPOPO_SOL-ORG | XL","HKT-55-SSPOPO_SOL-ORG | XL"
"Entitled Club (Shopify)","Hackett | Orange Polo T-Shirt-L","HKT-55-SSPOPO_SOL-ORG | L",,0.000x0.000x0.000,Polo,,,,,,,,9647203909873,"HKT-55-SSPOPO_SOL-ORG | L","HKT-55-SSPOPO_SOL-ORG | L"
"Entitled Club (Shopify)","Hackett | Orange Polo T-Shirt-M","HKT-55-SSPOPO_SOL-ORG | M",,0.000x0.000x0.000,Polo,,,,,,,,9647203909873,"HKT-55-SSPOPO_SOL-ORG | M","HKT-55-SSPOPO_SOL-ORG | M"
"Entitled Club (Shopify)","Hackett | Orange Polo T-Shirt-S","HKT-55-SSPOPO_SOL-ORG | S",,0.000x0.000x0.000,Polo,,,,,,,,9647203909873,"HKT-55-SSPOPO_SOL-ORG | S","HKT-55-SSPOPO_SOL-ORG | S"
"Entitled Club (Shopify)","Hackett | Blue Polo T-Shirt-XXL","HKT-56-SSPOPO_SOL-BLU | XXL",,0.000x0.000x0.000,Polo,,,,,,,,9647203942641,"HKT-56-SSPOPO_SOL-BLU | XXL","HKT-56-SSPOPO_SOL-BLU | XXL"
"Entitled Club (Shopify)","Hackett | Blue Polo T-Shirt-XL","HKT-56-SSPOPO_SOL-BLU | XL",,0.000x0.000x0.000,Polo,,,,,,,,9647203942641,"HKT-56-SSPOPO_SOL-BLU | XL","HKT-56-SSPOPO_SOL-BLU | XL"
"Entitled Club (Shopify)","Hackett | Blue Polo T-Shirt-L","HKT-56-SSPOPO_SOL-BLU | L",,0.000x0.000x0.000,Polo,,,,,,,,9647203942641,"HKT-56-SSPOPO_SOL-BLU | L","HKT-56-SSPOPO_SOL-BLU | L"
"Entitled Club (Shopify)","Hackett | Blue Polo T-Shirt-M","HKT-56-SSPOPO_SOL-BLU | M",0.000,0.000x0.000x0.000,Polo,,,,,,,,9647203942641,"HKT-56-SSPOPO_SOL-BLU | M","HKT-56-SSPOPO_SOL-BLU | M"
"Entitled Club (Shopify)","Hackett | Blue Polo T-Shirt-S","HKT-56-SSPOPO_SOL-BLU | S",,0.000x0.000x0.000,Polo,,,,,,,,9647203942641,"HKT-56-SSPOPO_SOL-BLU | S","HKT-56-SSPOPO_SOL-BLU | S"
"Entitled Club (Shopify)","Hackett | White Polo T-Shirt-XXL","HKT-58-SSPOPO_SOL-WHT | XXL",,0.000x0.000x0.000,Polo,,,,,,,,9647204008177,"HKT-58-SSPOPO_SOL-WHT | XXL","HKT-58-SSPOPO_SOL-WHT | XXL"
