"*Channel Name","Product Name","*SKU Code",Weight,Dimensions,Category,"Image 1","Image 2","Image 3","Image 4","Image 5","HSN Code",Essential,"Channel Product id","Channel SKU Code","Master SKU Code"
"Entitled Club (Shopify)","Boss | Black Polo T-Shirt-S","BSS-46-SSPOPO_SOL-BLK | S",0.100,30.000x20.000x1.000,Polo,,,,,,,,9639149633777,"BSS-46-SSPOPO_SOL-BLK | S","BSS-46-SSPOPO_SOL-BLK | S"
"Entitled Club (Shopify)","Boss | Black Polo T-Shirt-M","BSS-46-SSPOPO_SOL-BLK | M",0.100,30.000x20.000x1.000,Polo,,,,,,,,9639149633777,"BSS-46-SSPOPO_SOL-BLK | M","BSS-46-SSPOPO_SOL-BLK | M"
"Entitled Club (Shopify)","Boss | Black Polo T-Shirt-L","BSS-46-SSPOPO_SOL-BLK | L",0.100,30.000x20.000x1.000,Polo,,,,,,,,9639149633777,"BSS-46-SSPOPO_SOL-BLK | L","BSS-46-SSPOPO_SOL-BLK | L"
"Entitled Club (Shopify)","Boss | Black Polo T-Shirt-XL","BSS-46-SSPOPO_SOL-BLK | XL",0.100,30.000x20.000x1.000,Polo,,,,,,,,9639149633777,"BSS-46-SSPOPO_SOL-BLK | XL","BSS-46-SSPOPO_SOL-BLK | XL"
"Entitled Club (Shopify)","Boss | Black Polo T-Shirt-XXL","BSS-46-SSPOPO_SOL-BLK | XXL",0.100,30.000x20.000x1.000,Polo,,,,,,,,9639149633777,"BSS-46-SSPOPO_SOL-BLK | XXL","BSS-46-SSPOPO_SOL-BLK | XXL"
"Entitled Club (Shopify)","Boss | Navy Polo T-Shirt-S","BSS-47-SSPOPO_SOL-NAV | S",0.100,30.000x20.000x1.000,Polo,,,,,,,,9639149535473,"BSS-47-SSPOPO_SOL-NAV | S","BSS-47-SSPOPO_SOL-NAV | S"
"Entitled Club (Shopify)","Boss | Navy Polo T-Shirt-M","BSS-47-SSPOPO_SOL-NAV | M",0.100,30.000x20.000x1.000,Polo,,,,,,,,9639149535473,"BSS-47-SSPOPO_SOL-NAV | M","BSS-47-SSPOPO_SOL-NAV | M"
"Entitled Club (Shopify)","Boss | Navy Polo T-Shirt-L","BSS-47-SSPOPO_SOL-NAV | L",0.100,30.000x20.000x1.000,Polo,,,,,,,,9639149535473,"BSS-47-SSPOPO_SOL-NAV | L","BSS-47-SSPOPO_SOL-NAV | L"
"Entitled Club (Shopify)","Boss | Navy Polo T-Shirt-XL","BSS-47-SSPOPO_SOL-NAV | XL",0.100,30.000x20.000x1.000,Polo,,,,,,,,9639149535473,"BSS-47-SSPOPO_SOL-NAV | XL","BSS-47-SSPOPO_SOL-NAV | XL"
"Entitled Club (Shopify)","Boss | Navy Polo T-Shirt-XXL","BSS-47-SSPOPO_SOL-NAV | XXL",0.100,30.000x20.000x1.000,Polo,,,,,,,,9639149535473,"BSS-47-SSPOPO_SOL-NAV | XXL","BSS-47-SSPOPO_SOL-NAV | XXL"
