sku,productId,productTitle,imageId,imageUrl,estimatedBackground,targetBackground,distanceFromTarget,matchesTarget,width,height,status,error
LAC-1-SSPOPO_SOL-BLK-M|LAC-1-SSPOPO_SOL-BLK-XL|LAC-1-SSPOPO_SOL-BLK-XXL,gid://shopify/Product/9491184451825,Lacoste |  Polo |  Black,gid://shopify/ProductImage/48827893580017,https://cdn.shopify.com/s/files/1/0778/1629/9761/files/lac-1-sspopo_sol-blk_front.png?v=1772451878,#EDECEC,#EDEBE8,4.12,true,1512,2016,OK,
LAC-1-SSPOPO_SOL-BLK-M|LAC-1-SSPOPO_SOL-BLK-XL|LAC-1-SSPOPO_SOL-BLK-XXL,gid://shopify/Product/9491184451825,Lacoste |  Polo |  Black,gid://shopify/ProductImage/48827893612785,https://cdn.shopify.com/s/files/1/0778/1629/9761/files/lac-1-sspopo_sol-blk_back.png?v=1772451879,#EDECEC,#EDEBE8,4.12,true,1512,2016,OK,
LAC-1-SSPOPO_SOL-BLK-M|LAC-1-SSPOPO_SOL-BLK-XL|LAC-1-SSPOPO_SOL-BLK-XXL,gid://shopify/Product/9491184451825,Lacoste |  Polo |  Black,gid://shopify/ProductImage/48827893645553,https://cdn.shopify.com/s/files/1/0778/1629/9761/files/lac-1-sspopo_sol-blk_detail.png?v=1772451878,#EDECEC,#EDEBE8,4.12,true,1512,2016,OK,
LAC-2-SSPOPO_SOL-OLV-M|LAC-2-SSPOPO_SOL-OLV-XL|LAC-2-SSPOPO_SOL-OLV-XXL,gid://shopify/Product/9491184484593,Lacoste |  Polo |  Olive,gid://shopify/ProductImage/48827875164401,https://cdn.shopify.com/s/files/1/0778/1629/9761/files/lac-2-sspopo_sol-olv_front.png?v=1772451836,#EDECEC,#EDEBE8,4.12,true,1512,2016,OK,
LAC-2-SSPOPO_SOL-OLV-M|LAC-2-SSPOPO_SOL-OLV-XL|LAC-2-SSPOPO_SOL-OLV-XXL,gid://shopify/Product/9491184484593,Lacoste |  Polo |  Olive,gid://shopify/ProductImage/48827875197169,https://cdn.shopify.com/s/files/1/0778/1629/9761/files/lac-2-sspopo_sol-olv_back.png?v=1772451836,#EDECEC,#EDEBE8,4.12,true,1512,2016,OK,
LAC-2-SSPOPO_SOL-OLV-M|LAC-2-SSPOPO_SOL-OLV-XL|LAC-2-SSPOPO_SOL-OLV-XXL,gid://shopify/Product/9491184484593,Lacoste |  Polo |  Olive,gid://shopify/ProductImage/48827875229937,https://cdn.shopify.com/s/files/1/0778/1629/9761/files/lac-2-sspopo_sol-olv_detail.png?v=1772451836,#312C1F,#EDEBE8,335,false,1512,2016,MISMATCH,
LAC-3-SSPOPO_SOL-NAV-M|LAC-3-SSPOPO_SOL-NAV-XL|LAC-3-SSPOPO_SOL-NAV-XXL,gid://shopify/Product/9491184550129,Lacoste |  Polo |  Navy,gid://shopify/ProductImage/48827869200625,https://cdn.shopify.com/s/files/1/0778/1629/9761/files/lac-3-sspopo_sol-nav_front.png?v=1772451817,#EDECEC,#EDEBE8,4.12,true,1512,2016,OK,
LAC-3-SSPOPO_SOL-NAV-M|LAC-3-SSPOPO_SOL-NAV-XL|LAC-3-SSPOPO_SOL-NAV-XXL,gid://shopify/Product/9491184550129,Lacoste |  Polo |  Navy,gid://shopify/ProductImage/48827869233393,https://cdn.shopify.com/s/files/1/0778/1629/9761/files/lac-3-sspopo_sol-nav_back.png?v=1772451817,#EDECEC,#EDEBE8,4.12,true,1512,2016,OK,
LAC-3-SSPOPO_SOL-NAV-M|LAC-3-SSPOPO_SOL-NAV-XL|LAC-3-SSPOPO_SOL-NAV-XXL,gid://shopify/Product/9491184550129,Lacoste |  Polo |  Navy,gid://shopify/ProductImage/48827869266161,https://cdn.shopify.com/s/files/1/0778/1629/9761/files/lac-3-sspopo_sol-nav_detail.png?v=1772451817,#272245,#EDEBE8,325.84,false,1512,2016,MISMATCH,
LAC-4-SSPOPO_SOL-SKY-M|LAC-4-SSPOPO_SOL-SKY-XL|LAC-4-SSPOPO_SOL-SKY-XXL,gid://shopify/Product/9491184615665,Lacoste |  Polo |  Blue,gid://shopify/ProductImage/48827863957745,https://cdn.shopify.com/s/files/1/0778/1629/9761/files/lac-4-sspopo_sol-sky_front.png?v=1772451801,#EDECEC,#EDEBE8,4.12,true,1512,2016,OK,
LAC-4-SSPOPO_SOL-SKY-M|LAC-4-SSPOPO_SOL-SKY-XL|LAC-4-SSPOPO_SOL-SKY-XXL,gid://shopify/Product/9491184615665,Lacoste |  Polo |  Blue,gid://shopify/ProductImage/48827863990513,https://cdn.shopify.com/s/files/1/0778/1629/9761/files/lac-4-sspopo_sol-sky_back.png?v=1772451801,#EDECEC,#EDEBE8,4.12,true,1512,2016,OK,
LAC-4-SSPOPO_SOL-SKY-M|LAC-4-SSPOPO_SOL-SKY-XL|LAC-4-SSPOPO_SOL-SKY-XXL,gid://shopify/Product/9491184615665,Lacoste |  Polo |  Blue,gid://shopify/ProductImage/48827864023281,https://cdn.shopify.com/s/files/1/0778/1629/9761/files/lac-4-sspopo_sol-sky_detail.png?v=1772451801,#B8CDC1,#EDEBE8,72.32,false,1512,2016,MISMATCH,
LAC-5-SSPOPO_SOL-SKN-M|LAC-5-SSPOPO_SOL-SKN-XL|LAC-5-SSPOPO_SOL-SKN-XXL,gid://shopify/Product/9491184713969,Lacoste |  Polo |  Beige,gid://shopify/ProductImage/48827859108081,https://cdn.shopify.com/s/files/1/0778/1629/9761/files/lac-5-sspopo_sol-skn_front.png?v=1772451784,#EDECEC,#EDEBE8,4.12,true,1512,2016,OK,
LAC-5-SSPOPO_SOL-SKN-M|LAC-5-SSPOPO_SOL-SKN-XL|LAC-5-SSPOPO_SOL-SKN-XXL,gid://shopify/Product/9491184713969,Lacoste |  Polo |  Beige,gid://shopify/ProductImage/48827859140849,https://cdn.shopify.com/s/files/1/0778/1629/9761/files/lac-5-sspopo_sol-skn_back.png?v=1772451785,#EDECEC,#EDEBE8,4.12,true,1512,2016,OK,
LAC-5-SSPOPO_SOL-SKN-M|LAC-5-SSPOPO_SOL-SKN-XL|LAC-5-SSPOPO_SOL-SKN-XXL,gid://shopify/Product/9491184713969,Lacoste |  Polo |  Beige,gid://shopify/ProductImage/48827859173617,https://cdn.shopify.com/s/files/1/0778/1629/9761/files/lac-5-sspopo_sol-skn_detail.png?v=1772451785,#EDECEC,#EDEBE8,4.12,true,1512,2016,OK,
LAC-6-SSPOPO_SOL-MRN-M|LAC-6-SSPOPO_SOL-MRN-XL|LAC-6-SSPOPO_SOL-MRN-XXL,gid://shopify/Product/9491184812273,Lacoste |  Polo |  Maroon,gid://shopify/ProductImage/48827296284913,https://cdn.shopify.com/s/files/1/0778/1629/9761/files/lac-6-sspopo_sol-mrn_front.png?v=1772450114,#EDECEC,#EDEBE8,4.12,true,1512,2016,OK,
LAC-6-SSPOPO_SOL-MRN-M|LAC-6-SSPOPO_SOL-MRN-XL|LAC-6-SSPOPO_SOL-MRN-XXL,gid://shopify/Product/9491184812273,Lacoste |  Polo |  Maroon,gid://shopify/ProductImage/48827296317681,https://cdn.shopify.com/s/files/1/0778/1629/9761/files/lac-6-sspopo_sol-mrn_back.png?v=1772450112,#EDECEC,#EDEBE8,4.12,true,1512,2016,OK,
LAC-6-SSPOPO_SOL-MRN-M|LAC-6-SSPOPO_SOL-MRN-XL|LAC-6-SSPOPO_SOL-MRN-XXL,gid://shopify/Product/9491184812273,Lacoste |  Polo |  Maroon,gid://shopify/ProductImage/48827296350449,https://cdn.shopify.com/s/files/1/0778/1629/9761/files/lac-6-sspopo_sol-mrn_detail.png?v=1772450113,#EDECEC,#EDEBE8,4.12,true,1512,2016,OK,
LAC-7-SSPOPO_SOL-RED-M|LAC-7-SSPOPO_SOL-RED-XL|LAC-7-SSPOPO_SOL-RED-XXL,gid://shopify/Product/9491185107185,Lacoste |  Polo |  Red,gid://shopify/ProductImage/48827290026225,https://cdn.shopify.com/s/files/1/0778/1629/9761/files/lac-7-sspopo_sol-red_front.png?v=1772450099,#EDECEC,#EDEBE8,4.12,true,1512,2016,OK,
LAC-7-SSPOPO_SOL-RED-M|LAC-7-SSPOPO_SOL-RED-XL|LAC-7-SSPOPO_SOL-RED-XXL,gid://shopify/Product/9491185107185,Lacoste |  Polo |  Red,gid://shopify/ProductImage/48827290058993,https://cdn.shopify.com/s/files/1/0778/1629/9761/files/lac-7-sspopo_sol-red_back.png?v=1772450099,#EDECEC,#EDEBE8,4.12,true,1512,2016,OK,
LAC-7-SSPOPO_SOL-RED-M|LAC-7-SSPOPO_SOL-RED-XL|LAC-7-SSPOPO_SOL-RED-XXL,gid://shopify/Product/9491185107185,Lacoste |  Polo |  Red,gid://shopify/ProductImage/48827290091761,https://cdn.shopify.com/s/files/1/0778/1629/9761/files/lac-7-sspopo_sol-red_detail.png?v=1772450099,#EDECEC,#EDEBE8,4.12,true,1512,2016,OK,
PRL-8-SSPOPO_SOL-BRN-M|PRL-8-SSPOPO_SOL-BRN-S|PRL-8-SSPOPO_SOL-BRN-XL|PRL-8-SSPOPO_SOL-BRN-XXL,gid://shopify/Product/9491185205489,Polo Ralph Lauren |  Polo |  Brown,gid://shopify/ProductImage/48827286388977,https://cdn.shopify.com/s/files/1/0778/1629/9761/files/prl-8-sspopo_sol-brn_front.png?v=1772450080,#EDECEC,#EDEBE8,4.12,true,1512,2016,OK,
PRL-8-SSPOPO_SOL-BRN-M|PRL-8-SSPOPO_SOL-BRN-S|PRL-8-SSPOPO_SOL-BRN-XL|PRL-8-SSPOPO_SOL-BRN-XXL,gid://shopify/Product/9491185205489,Polo Ralph Lauren |  Polo |  Brown,gid://shopify/ProductImage/48827286421745,https://cdn.shopify.com/s/files/1/0778/1629/9761/files/prl-8-sspopo_sol-brn_back.png?v=1772450080,#EDECEC,#EDEBE8,4.12,true,1512,2016,OK,
PRL-8-SSPOPO_SOL-BRN-M|PRL-8-SSPOPO_SOL-BRN-S|PRL-8-SSPOPO_SOL-BRN-XL|PRL-8-SSPOPO_SOL-BRN-XXL,gid://shopify/Product/9491185205489,Polo Ralph Lauren |  Polo |  Brown,gid://shopify/ProductImage/48827286454513,https://cdn.shopify.com/s/files/1/0778/1629/9761/files/prl-8-sspopo_sol-brn_detail.png?v=1772450080,#EDECEC,#EDEBE8,4.12,true,1512,2016,OK,
